time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1760924820,6716.25,6716.25,6714.25,6714.5,6709.6862985482485,6716.994137627146,6702.378459469351,211
1760924880,6714.25,6715,6713.25,6713.5,6709.69502904103,6716.997847299608,6702.392210782451,167
1760924940,6713.5,6714.5,6713.25,6714,6709.706423544782,6717.00266802599,6702.410179063575,219
1760925000,6714.25,6714.25,6713,6713.75,6709.715869737173,6717.005967403204,6702.425772071143,194
1760925060,6713.5,6713.75,6713,6713.25,6709.723592247703,6717.0078180765795,6702.4393664188265,174
1760925120,6713.25,6713.5,6711.25,6711.5,6709.7344279846475,6717.00366117226,6702.465194797035,376
1760925180,6711.75,6711.75,6710.25,6710.5,6709.741534815248,6716.987759535166,6702.49531009533,533
1760925240,6710.5,6711.5,6710,6710.75,6709.745678057585,6716.977289743063,6702.514066372107,340
1760925300,6711,6712.75,6710.75,6712.25,6709.7525295719015,6716.973747709614,6702.531311434189,262
1760925360,6712.25,6714.25,6712.25,6712.75,6709.76675182511,6716.975808743071,6702.557694907149,356
1760925420,6712.75,6713.5,6712.75,6713.5,6709.771716391395,6716.976832480754,6702.566600302036,119
1760925480,6713.25,6713.75,6712,6712.5,6709.777235160037,6716.976812065082,6702.577658254992,155
1760925540,6712.25,6713.5,6712,6713.25,6709.78143306272,6716.977109481228,6702.585756644212,112
1760925600,6713,6713.75,6711.75,6712,6709.797917828593,6716.974848500495,6702.620987156692,511
1760925660,6712.5,6713.25,6710.75,6713,6709.810133956865,6716.971906109681,6702.648361804048,408
1760925720,6713,6713.25,6712,6712.25,6709.815301776636,6716.971160440881,6702.659443112391,163
1760925780,6712.25,6713.5,6712.25,6713.25,6709.81796466187,6716.971423298903,6702.6645060248375,71
1760925840,6713.5,6714,6713.5,6713.5,6709.821903921569,6716.972759811964,6702.671048031174,87
1760925900,6713.5,6713.75,6711.75,6711.75,6709.828450585775,6716.971466030992,6702.685435140557,215
1760925960,6711.5,6713.75,6711.5,6713.25,6709.8358374792715,6716.971619355279,6702.700055603264,210
1760926020,6713.5,6713.5,6711,6711.5,6709.839706661371,6716.969693036323,6702.709720286418,153
1760926080,6711.25,6711.25,6710.25,6710.5,6709.8414905028985,6716.963885988818,6702.719095016979,185
1760926140,6710.5,6711.25,6710,6711,6709.8435831365405,6716.957904445532,6702.729261827549,198
1760926200,6711,6711.75,6710.75,6711,6709.845550341315,6716.954763565394,6702.736337117236,128
1760926260,6711,6711.25,6710,6710.75,6709.847463012325,6716.948501797294,6702.746424227355,201
1760926320,6710.75,6710.75,6710,6710.25,6709.848322979692,6716.94310412497,6702.753541834414,153
1760926380,6710.5,6711.25,6709.5,6710.25,6709.84957095824,6716.935261047461,6702.76388086902,223
1760926440,6710.5,6710.75,6710.25,6710.5,6709.850859262844,6716.929587632446,6702.772130893242,172
1760926500,6710.5,6711.25,6710.25,6710.75,6709.852801653148,6716.924003119309,6702.781600186987,188
1760926560,6710.5,6711.5,6710.5,6711.5,6709.854369907038,6716.921495560408,6702.787244253667,104
1760926620,6711.75,6713,6711.75,6712.25,6709.862282488076,6716.919505790098,6702.805059186054,279
1760926680,6712.5,6713.5,6711.5,6711.75,6709.868467296547,6716.917589492212,6702.819345100883,227
1760926740,6712,6712.5,6711.5,6711.5,6709.870080266341,6716.916533238545,6702.823627294137,72
1760926800,6711.5,6712,6710.75,6711,6709.871761658033,6716.914084905969,6702.829438410098,107
1760926860,6711,6711.5,6710.75,6711.5,6709.8729847655695,6716.912302123273,6702.833667407866,78
1760926920,6711.25,6711.5,6710,6710.5,6709.874435952184,6716.907396672884,6702.841475231485,161
1760926980,6710.25,6711.5,6710.25,6711.5,6709.8759716519635,6716.904595759285,6702.847347544642,112
1760927040,6711.5,6712.5,6710.5,6711,6709.8792865738,6716.90025572983,6702.858317417769,201
1760927100,6710.75,6711.25,6710,6710,6709.879942544979,6716.896650289053,6702.863234800905,108
1760927160,6710,6710.25,6709.25,6710,6709.879769344822,6716.883428461161,6702.876110228483,330
1760927220,6710,6710.25,6709.25,6710,6709.879719200762,6716.879596001135,6702.87984240039,96
1760927280,6710.25,6711.25,6710.25,6711.25,6709.880919209627,6716.876833360906,6702.885005058348,103
1760927340,6711,6712.25,6711,6711.75,6709.8839436935705,6716.87431658686,6702.893570800281,151
1760927400,6711.75,6712,6711,6712,6709.886200355487,6716.87243502671,6702.899965684263,113
1760927460,6712.25,6712.5,6711,6711,6709.888763374719,6716.86974389392,6702.907782855518,142
1760927520,6711,6712.75,6711,6712.5,6709.891900645539,6716.868382265372,6702.915419025706,128
1760927580,6712.5,6713,6712.25,6712.75,6709.895645352579,6716.868161952807,6702.923128752351,121
1760927640,6713,6714,6713,6713.75,6709.904221561997,6716.870890609778,6702.937552514215,209
1760927700,6714,6714.75,6713.5,6714.5,6709.915940710163,6716.876859287035,6702.955022133292,243
1760927760,6714.25,6714.5,6712.75,6713,6709.927093588795,6716.879714429342,6702.974472748248,288
1760927820,6713,6713.25,6712.5,6713.25,6709.929233637698,6716.8799058138775,6702.978561461519,63
1760927880,6713,6714,6712.75,6713.25,6709.933555611986,6716.880871561422,6702.986239662549,115
1760927940,6713.5,6714,6712.75,6713.5,6709.9404637291545,6716.882616685839,6702.99831077247,180
