ticker,cik,accession,primary,filing_date,MD&A_pos,MD&A_neg,MD&A_sent,MD&A_boost,Results_pos,Results_neg,Results_sent,Results_boost,sent_overall,close_0,close_7,close_28,ret_7,ret_28,RiskFactors_pos,RiskFactors_neg,RiskFactors_sent,RiskFactors_boost
PCT,0001830033,000095017024127556,pct-20240930.htm,2024-11-15,0.00012013727973680943,4.4770600652555004e-05,7.536667908425443e-05,0.0,0.0004770037194248289,0.0009581496124155819,-0.00048114589299075305,0.0,-0.06910520981788675,11.04,11.93,11.75,8.061594202898558,6.431159420289867,0.06348206102848053,0.27039191126823425,-0.20690985023975372,0.0
PCT,0001830033,000095017024093899,pct-20240630.htm,2024-08-08,0.00011008586443495005,2.0322086129453965e-05,8.976377830549609e-05,0.0,0.00040196761256083846,0.0003184678207617253,8.349979179911315e-05,0.0,-0.07453608378091303,6.31,5.84,5.41,-7.448494453248811,-14.263074484944527,0.0297916941344738,0.2535732090473175,-0.2237815149128437,0.0
PCT,0001830033,000095017024055747,pct-20240331.htm,2024-05-08,9.91963897831738e-05,2.037965714407619e-05,7.881673263909761e-05,0.0,0.00047372878179885447,0.00037457176949828863,9.915701230056584e-05,0.0,-0.06700097463605441,4.77,5.38,5.51,12.78825995807129,15.513626834381554,0.03772198408842087,0.23890288174152374,-0.20118089765310287,0.0
PCT,0001830033,000183003323000080,pct-20230930.htm,2023-11-09,9.800991392694414e-05,2.9634713428094983e-05,6.837520049884915e-05,0.0,0.0004849880060646683,0.0007004063227213919,-0.00021541831665672362,0.0,-0.0792375127299844,3.09,4.15,4.66,34.304207119741115,50.809061488673144,0.03994547575712204,0.27751097083091736,-0.23756549507379532,0.0
LULU,0001397187,000139718725000039,lulu-20250803.htm,2025-09-04,4.289616845198907e-05,1.9647222870844416e-05,2.3248945581144653e-05,0.0,0.0001321945310337469,0.00018225402163807303,-5.005949060432613e-05,0.0,-0.07559350120633705,206.09,165.78,178.2,-19.559415789218303,-13.532922509583202,0.05036010220646858,0.27711379528045654,-0.22675369307398796,0.0
LULU,0001397187,000139718725000027,lulu-20250504.htm,2025-06-05,3.7187986890785396e-05,2.2941721908864565e-05,1.4246264981920831e-05,0.0,0.0001472498115617782,0.00022112323495093733,-7.387342338915914e-05,0.0,-0.043649906967402785,330.78,247.03,247.68,-25.318943104177993,-25.12243787411572,0.07934612780809402,0.21023622155189514,-0.13089009374380112,0.0
LULU,0001397187,000139718724000041,lulu-20241027.htm,2024-12-05,6.584870425285771e-05,1.620163493498694e-05,4.964706931787077e-05,0.0,0.00028768423362635076,0.0002333889715373516,5.429526208899915e-05,0.0,-0.036953562489240234,344.81,389.33,372.31,12.911458484382688,7.97540674574404,0.057753514498472214,0.1687181442975998,-0.11096462979912758,0.0
LULU,0001397187,000139718724000034,lulu-20240728.htm,2024-08-29,4.289616845198907e-05,1.9647222870844416e-05,2.3248945581144653e-05,0.0,0.0001321945310337469,0.00018225402163807303,-5.005949060432613e-05,0.0,-0.0614155343434201,259.01,253.7,268.82,-2.050113895216399,3.787498552179458,0.06250956654548645,0.24672935903072357,-0.18421979248523712,0.0
LULU,0001397187,000139718724000024,lulu-20240428.htm,2024-06-05,3.7187986890785396e-05,2.2941721908864565e-05,1.4246264981920831e-05,0.0,0.0001472498115617782,0.00022112323495093733,-7.387342338915914e-05,0.0,-0.0888410111807995,308.27,309.81,300.32,0.49956207220942517,-2.5789081000421654,0.07868804782629013,0.34515145421028137,-0.26646340638399124,0.0
LULU,0001397187,000139718723000052,lulu-20231029.htm,2023-12-07,4.289616845198907e-05,1.9647222870844416e-05,2.3248945581144653e-05,0.0,0.0001321945310337469,0.00018225402163807303,-5.005949060432613e-05,0.0,-0.0512333175799237,464.67,489.3,496.0,5.30053586416166,6.7424193513676345,0.074647918343544,0.22832106053829193,-0.15367314219474792,0.0
MAR,0001048286,000104828625000006,mar-20250630.htm,2025-08-05,4.150548920733854e-05,0.0007082370575517416,-0.0006667315683444031,0.0,1.8267781342728995e-05,0.0035059137735515833,-0.0034876459922088543,0.0,-0.07063666263578246,259.72,265.01,264.48,2.036808871091922,1.8327429539503948,0.052220419049263,0.25997602939605713,-0.20775561034679413,0.0
MAR,0001048286,000162828025022485,mar-20250331.htm,2025-05-06,9.889754437608644e-05,0.002682138467207551,-0.0025832409228314646,0.0,4.7666660975664854e-05,0.008500245399773121,-0.008452578738797456,0.0,-0.07086948961417268,251.96,274.14,264.4,8.802984600730257,4.937291633592622,0.06699741631746292,0.26857006549835205,-0.20157264918088913,0.0
MAR,0001048286,000162828024044884,mar-20240930.htm,2024-11-04,4.150548920733854e-05,0.0007082370575517416,-0.0006667315683444031,0.0,1.8267781342728995e-05,0.0035059137735515833,-0.0034876459922088543,0.0,-0.06648670414445708,256.43,285.91,286.24,11.496314783761651,11.625004874624656,0.06324407458305359,0.2585498094558716,-0.195305734872818,0.0
MAR,0001048286,000162828024033679,mar-20240630.htm,2024-07-31,9.889754437608644e-05,0.002682138467207551,-0.0025832409228314646,0.0,4.7666660975664854e-05,0.008500245399773121,-0.008452578738797456,0.0,-0.07293047666947435,227.3,214.77,227.32,-5.512538495380559,0.008798944126686692,0.052220419049263,0.25997602939605713,-0.20775561034679413,0.0
MAR,0001048286,000162828024019494,mar-20240331.htm,2024-05-01,8.174213871825486e-05,0.0019050881965085864,-0.0018233460577903315,0.0,4.311462180339731e-05,0.011119031347334385,-0.011075916725530988,0.0,-0.07149063732140348,233.86,235.35,228.46,0.6371333276319113,-2.3090738048405,0.06699741631746292,0.26857006549835205,-0.20157264918088913,0.0
MAR,0001048286,000162828023036256,mar-20230930.htm,2023-11-02,4.150548920733854e-05,0.0007082370575517416,-0.0006667315683444031,0.0,1.8267781342728995e-05,0.0035059137735515833,-0.0034876459922088543,0.0,-0.08285272150593907,185.7,194.39,202.7,4.679590737749062,9.154550350026923,0.07205008715391159,0.31645387411117554,-0.24440378695726395,0.0
EA,0000712515,000071251525000030,ea-20250630.htm,2025-08-01,5.09741366840899e-05,1.9357381461304612e-05,3.1616755222785287e-05,0.0,0.00021349034796003252,0.0001747634814819321,3.872686647810042e-05,0.0,-0.0690317852768203,157.08,167.64,171.95,6.722689075630228,9.46651387827857,0.03715779259800911,0.2443234920501709,-0.2071656994521618,0.0
EA,0000712515,000071251525000015,ea-20241231.htm,2025-02-05,5.09741366840899e-05,1.9357381461304612e-05,3.1616755222785287e-05,0.0,0.00021349034796003252,0.0001747634814819321,3.872686647810042e-05,0.0,-0.07418753117053711,130.47,131.17,134.05,0.5365218057790999,2.743925806698866,0.04994381219148636,0.2725767493247986,-0.22263293713331223,0.0
EA,0000712515,000071251524000048,ea-20240930.htm,2024-11-01,5.09741366840899e-05,1.9357381461304612e-05,3.1616755222785287e-05,0.0,0.00021349034796003252,0.0001747634814819321,3.872686647810042e-05,0.0,-0.07418753117053711,151.26,157.91,163.67,4.396403543567362,8.204416236943013,0.04994381219148636,0.2725767493247986,-0.22263293713331223,0.0
EA,0000712515,000071251524000039,ea-20240630.htm,2024-08-02,6.377573299687356e-05,2.072322240564972e-05,4.3052510591223836e-05,0.0,0.0003493433177936822,0.0001940135844051838,0.00015532973338849843,0.0,-0.06972491514170542,148.83,146.6,151.82,-1.4983538265134877,2.009003561109979,0.05776514485478401,0.26713827252388,-0.209373127669096,0.0
