ticker,filing_date,bucket,Δsent_overall,pred_28d_pct,direction_rule,signal_strength,direction,filled,entry_date,exit_date,entry_price,exit_price,exit_reason,pnl_pct,bars_held
SLB,2025-07-24,large,-0.014279312054592708,4.206324448880711,dsent_sign,4.206324448880711,short,True,2025-07-24,2025-07-25,34.94,35.4042,tsl,-1.311,2
SLB,2025-10-22,large,0.014680532126779708,5.398962939767375,dsent_sign,5.398962939767375,long,True,2025-10-22,2025-10-22,34.09,34.5254,tsl,1.277,1
UBER,2022-05-05,large,-0.015369993772158794,4.161407460048554,dsent_sign,4.161407460048554,short,True,2022-05-05,2022-05-05,27.87,26.724,tsl,4.288,1
UBER,2022-08-04,large,0.013067326706125995,5.332527123803414,dsent_sign,5.332527123803414,long,True,2022-08-04,2022-08-04,29.78,31.585399999999996,tsl,6.062,1
UBER,2022-11-02,large,0.02077081865112021,5.64977610312441,dsent_sign,5.64977610312441,long,True,2022-11-02,2022-11-02,29.57,29.5568,tsl,-0.045,1
UBER,2023-05-03,large,0.007099569997687197,5.086760043353816,dsent_sign,5.086760043353816,long,True,2023-05-03,2023-05-03,36.75,37.583,tsl,2.267,1
UBER,2023-08-02,large,-0.03560428564439161,3.328108939119966,dsent_sign,3.328108939119966,short,True,2023-08-02,2023-08-02,46.055,46.583400000000005,tsl,-1.134,1
UBER,2023-11-07,large,0.016534605409106007,5.475318294015076,dsent_sign,5.475318294015076,long,True,2023-11-07,2023-11-07,47.0,49.0392,tsl,4.339,1
UBER,2024-05-08,large,0.013839395007986796,5.364322818857084,dsent_sign,5.364322818857084,long,True,2024-05-08,2024-05-08,64.5,65.856,tsl,2.102,1
UBER,2024-08-06,large,-0.013839395007986796,4.224441328215195,dsent_sign,4.224441328215195,short,True,2024-08-06,2024-08-06,62.55,61.71,tsl,1.361,1
UBER,2024-10-31,large,0.0234976900592301,5.762075457383437,dsent_sign,5.762075457383437,long,True,2024-10-31,2024-10-31,74.5,73.49019999999999,tsl,-1.355,1
UBER,2025-05-07,large,-0.012344559846193696,4.286002362187608,dsent_sign,4.286002362187608,short,True,2025-05-07,2025-05-07,83.13,81.72240000000001,tsl,1.722,1
UBER,2025-08-06,large,-0.004847394121801102,4.594754314009853,dsent_sign,4.594754314009853,short,True,2025-08-06,2025-08-06,90.95,88.026,tsl,3.322,1
WHR,2022-10-21,mid,-0.00351569864566649,3.060661092806426,dsent_sign,3.060661092806426,short,True,2022-10-21,2022-10-21,125.72,126.91860000000001,tsl,-0.944,1
WHR,2023-04-25,mid,0.020619274514198593,3.8675271886888063,dsent_sign,3.8675271886888063,long,True,2023-04-25,2023-04-25,142.89,141.12,tsl,-1.239,1
WHR,2023-07-25,mid,0.007201587047650997,3.4189550262011092,dsent_sign,3.4189550262011092,long,True,2023-07-25,2023-07-25,149.53,146.77460000000002,tsl,-1.843,1
WHR,2024-04-25,mid,0.008127016464641201,3.449893433124358,dsent_sign,3.449893433124358,long,True,2024-04-25,2024-04-25,102.6,100.54799999999999,tsl,-2.0,1
WHR,2024-07-25,mid,-0.0006044495221430995,3.1579882453530277,dsent_sign,3.1579882453530277,short,True,2024-07-25,2024-07-25,100.0,98.9706,tsl,1.04,1
WHR,2025-04-24,mid,0.037507188314217906,4.432113897990783,dsent_sign,4.432113897990783,long,True,2025-04-24,2025-04-24,79.85,79.007502,tsl,-1.055,1
WHR,2025-10-28,mid,0.0,3.178195842969113,dsent_sign,3.178195842969113,short,True,2025-10-28,2025-10-28,74.19,74.725302,tsl,-0.716,1
